ticker,start_time,Q_shares,v60,realized_vol,volume_cv,twap_fill,vwap_fill,twap_is,vwap_is,market_vwap,twap_slip_mvwap,vwap_slip_mvwap,twap_avg_price,vwap_avg_price,p0,is_diff_vwap_minus_twap,vwap_better_is,slip_diff_vwap_minus_twap,vwap_better_mvwap
AMZN,2025-12-10 14:55:00-05:00,34127.22,3412722.0,0.0027932937312748,0.4004396593772008,1.0,1.0,0.3518218994139772,0.3354574388101241,231.95545255599765,0.0163644606038246,-2.8421709430404014e-14,231.97181701660148,231.9554525559976,231.6199951171875,-0.0163644606038531,True,-0.0163644606038531,True
NVDA,2025-12-29 09:45:00-05:00,199869.52,19986952.0,0.00479579337399,0.3447905237452209,1.0,1.0,-0.2131067911783759,-0.2268659988960735,186.9281327804008,0.0137592077176975,0.0,186.9418919881185,186.9281327804008,187.15499877929688,-0.0137592077176975,True,-0.0137592077176975,True
NVDA,2026-02-10 11:15:00-05:00,91979.9,9197990.0,0.0036389236490562,0.2779990645041775,1.0,1.0,-0.4595082600911553,-0.4692668590736275,189.39073375127796,0.0097585989824438,-2.8421709430404014e-14,189.4004923502604,189.3907337512779,189.86000061035156,-0.0097585989824722,True,-0.0097585989824722,True
NVDA,2025-12-12 13:10:00-05:00,155657.38,15565738.0,0.0051069208135351,0.9568026957408452,1.0,1.0,-0.2886848449707315,-0.1937831674117092,177.38621866364295,-0.0949016775589939,2.8421709430404014e-14,177.29131698608396,177.38621866364298,177.5800018310547,0.0949016775590223,False,0.0949016775590223,False
AMZN,2025-12-17 13:25:00-05:00,21299.14,2129914.0,0.003122691610794,0.2657952821558466,1.0,1.0,-0.6058514912923272,-0.6381893951107713,223.15180389102204,0.0323379038184441,0.0,223.18414179484049,223.15180389102204,223.7899932861328,-0.0323379038184441,True,-0.0323379038184441,True
NVDA,2026-01-13 15:25:00-05:00,271179.07,27117907.0,0.0153472812571647,0.7355844261809503,1.0,1.0,-0.7153434753418537,-0.999061518800545,183.72093970190264,0.2837180434586344,-5.684341886080803e-14,184.00465774536127,183.72093970190255,184.72000122070312,-0.2837180434586912,True,-0.2837180434586912,True
NVDA,2025-12-29 11:25:00-05:00,76797.52,7679752.0,0.0020940448499173,0.2405463424273267,1.0,1.0,0.0125528971354071,0.0309011608249534,187.27549954949689,-0.0183482636895746,-2.8421709430404014e-14,187.25715128580728,187.27549954949683,187.24459838867188,0.0183482636895462,False,0.0183482636895462,False
AMZN,2026-02-10 10:35:00-05:00,59695.18,5969518.0,0.00467977247218,0.2611739332739485,1.0,1.0,-1.0030899047852415,-0.9758973806434597,210.7341093332237,-0.0271925241417534,2.8421709430404014e-14,210.70691680908195,210.73410933322373,211.7100067138672,0.0271925241417818,False,0.0271925241417818,False
SPY,2026-02-09 12:20:00-05:00,45260.13,4526013.0,0.0006325253562187,0.2633467250437994,0.9999999999999996,1.0,-0.3734995524085889,-0.3775564790624912,694.9374459623439,0.0040569266537886,-1.1368683772161605e-13,694.9415028889977,694.9374459623438,695.3150024414062,-0.0040569266539023,True,-0.0040569266539023,True
AAPL,2026-01-21 11:55:00-05:00,28164.02,2816402.0,0.0030516319801506,0.3570734079644642,1.0,1.0,0.0718345642089275,0.0484657972383502,245.8284645765353,0.023368766970492,-8.526512829121202e-14,245.8518333435058,245.82846457653525,245.77999877929688,-0.0233687669705773,True,-0.0233687669705773,True
